;AT-42/12;AT-48/20;AT-48/22;AT-42/30;A1-42/8;A1-42/12;A1-48/20;A1-48/22;A1-42/30;A1-48/32;A1-42/34;A1-48/40;A1-42/42;A1-48/50;A1-48/52;A1-42/60;A1-42/62;A1-19/63;AT-79/11;A1-09/9;A1-20/7;AT-22/7;AT-09/9;AT-48/10;A1-48/10;AT-53/26;AT-66/26;;
3N12;FUP0286 - ENSINO DE CIÊNCIAS - T2;FUP0323 - METODOLOGIA DA PESQUISA EM EDUCAÇÃO;FUP0524 - ORGANIZAÇÃO E MÉTODOS; FUP0438 - QUÍMICA AMBIENTAL;FUP0262 - METODOLOGIA DA PESQUISA CIENTÍFICA E ELABORAÇÃO DE PROJETOS;FUP0537 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 1 - T2;FUP0260 - HIDROLOGIA APLICADA A GESTÃO AMBIENTAL;FUP0542 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 3 - T2;; FUP0330 - DIDÁTICA DAS CIÊNCIAS - T2;;FUP0314 - BASES PSICOLÓGICAS PARA O ENSINO DE CIÊNCIAS - T2;FUP0530 - PLANEJAMENTO E GESTÃO DE RECURSOS HÍDRICOS;FUP0541 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 2 - T2;FUP0335 - GESTÃO DE PESSOAS - T1;FUP0443 - INTRODUÇÃO À SAÚDE PÚBLICA E AMBIENTAL;Ledoc;FUP0299 - FILOSOFIA E SOCIOLOGIA DA EDUCAÇÃO - T2;;;;;;;;;FUP0261 - PEDOLOGIA E EDAFOLOGIA;;
3N34;FUP0286 - ENSINO DE CIÊNCIAS - T2;FUP0323 - METODOLOGIA DA PESQUISA EM EDUCAÇÃO;FUP0524 - ORGANIZAÇÃO E MÉTODOS; FUP0438 - QUÍMICA AMBIENTAL;;FUP0537 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 1 - T2;FUP0260 - HIDROLOGIA APLICADA A GESTÃO AMBIENTAL;FUP0542 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 3 - T2;;FUP0330 - DIDÁTICA DAS CIÊNCIAS - T2;MAT0022 - MATEMATICA 1;FUP0314 - BASES PSICOLÓGICAS PARA O ENSINO DE CIÊNCIAS - T2;FUP0530 - PLANEJAMENTO E GESTÃO DE RECURSOS HÍDRICOS;FUP0541 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 2 - T2;FUP0335 - GESTÃO DE PESSOAS - T1;FUP0443 - INTRODUÇÃO À SAÚDE PÚBLICA E AMBIENTAL;Ledoc;FUP0299 - FILOSOFIA E SOCIOLOGIA DA EDUCAÇÃO - T2;;;;;;;;;FUP0261 - PEDOLOGIA E EDAFOLOGIA;;
4M12;FUP0446 - GESTÃO DE NEGÓCIOS INTERNACIONAIS;;EducAção;FUP0335 - GESTÃO DE PESSOAS - T2; FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T1;FUP0343 - INOVAÇÃO TECNOLÓGICA;;MAT0026 - CÁLCULO 2;Ledoc;FUP0003 - TÓPICOS ESPECIAIS EM BIOLOGIA - T1;PPGCA0086 - POLUIÇÃO AMBIENTAL E ECOTOXICOLOGIA;;Ledoc;FUP0309 - SISTEMAS DE PRODUÇÃO DE MATÉRIAS-PRIMAS ANIMAIS;Ledoc;Ledoc;Ledoc;FUP0295 - SISTEMAS AGROINDUTRIAIS;MADER0068 - TÓPICOS ESPECIAIS EM MEIO AMBIENTE E DESENVOLVIMENTO RURAL - 1;;;;;;;FUP0249 - TÓPICOS ESPECIAIS EM GEOCIÊNCIAS;;;
4M34;FUP0368 - NOVA ECONOMIA INSTITUCIONAL;FUP0568 - INTRODUÇÃO AS PRÁTICAS E A PESQUISA DO GESTOR DO AGRONEGÓCIO;EducAção;FUP0335 - GESTÃO DE PESSOAS - T2; FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T1;FUP0128 - ECONOMIA BRASILEIRA CONTEMPORÂNEA;FUP0292 - SISTEMAS DE PRODUÇÃO DE MATÉRIAS-PRIMAS VEGETAIS; FUP0348 - INTRODUÇÃO AO CÁLCULO T1;Ledoc;FUP0003 - TÓPICOS ESPECIAIS EM BIOLOGIA - T1;;FUP0408 - TRABALHO DE CONCLUSÃO DE CURSO 1 - T1;Ledoc;FUP0309 - SISTEMAS DE PRODUÇÃO DE MATÉRIAS-PRIMAS ANIMAIS;Ledoc;Ledoc;Ledoc;FUP0410 - TECNOLOGIAS DE PRODUTOS AGROINDUSTRIAIS;MADER0068 - TÓPICOS ESPECIAIS EM MEIO AMBIENTE E DESENVOLVIMENTO RURAL - 1;;;;;PPGCIMA2018 - SIMULAÇÃO COMPUTACIONAL DE MATERIAIS 1;;;;;
4T23;FUP0329 - COMPOSTOS ORGÂNICOS E VIDA - T1;;EducAção;FUP0289 - CONTABILIDADE GERENCIAL;FUP0362 - ENERGIA E DINÂMICA DAS TRANSFORMAÇÕES QUÍMICAS - T1;FUP0277 - INTRODUÇÃO AO AGRONEGÓCIO;FUP0363 - ELETROMAGNETISMO EM CIÊNCIAS - T1; FUP0313 - QUÍMICA E TECNOLOGIA - T1;Ledoc;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T2;PPGMADER2659 - METODOLOGIA DE PESQUISA AMBIENTAL E AGRÁRIA;;Ledoc;FUP0407 - MECÂNICA APLICADA AS CIÊNCIAS - T1;Ledoc;Ledoc;Ledoc;FUP0247 - FUNDAMENTOS QUÍMICA INORGÂNICA - T1;;;;;;;;;;;
4T45;;;EducAção;;FUP0351 - LUZ E SOM - T2;FUP0312 - PESQUISA E EXTENSÃO;FUP0316 -  UNIVERSO - T1;;Ledoc;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T2;;;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0247 - FUNDAMENTOS QUÍMICA INORGÂNICA - T1;;;;;;FUP0220 - TÓPICOS ESPECIAIS EM ENSINO DE FÍSICA;;;FUP0321 - NATUREZA E ENERGIA - T1;;
4N12; FUP0329 - COMPOSTOS ORGÂNICOS E VIDA - T2;FUP0555 - POLÍTICA E GESTÃO DE RESÍDUOS URBANOS E RECICLAGEM;ADM0023 - INTRODUÇÃO À ADMINISTRAÇÃO;FUP0360 - FUNDAMENTOS DAS CIÊNCIAS DA NATUREZA;FUP0362 - ENERGIA E DINÂMICA DAS TRANSFORMAÇÕES QUÍMICAS - T2;;FUP0363 - ELETROMAGNETISMO EM CIÊNCIAS - T2;FUP0313 - QUÍMICA E TECNOLOGIA - T2; FUP0536 - CONTABILIDADE AMBIENTAL;FUP0255 - MORFOFISIOLOGIA COMPARADA;FUP0200 - FUNDAMENTOS EM ECOLOGIA DE POPULAÇÕES E COMUNIDADES;FUP0302 - SISTEMAS ECOLÓGICOS - T2;FUP0441 - SOCIOLOGIA DO AMBIENTALISMO;FUP0320 - SAÚDE E AMBIENTE 1 - T2;FUP0522 - PLANEJAMENTO AMBIENTAL;FUP0534 - DIREITO E LEGISLAÇÃO AMBIENTAL;Ledoc;FUP0549 - INSTRUMENTOS DE AVALIAÇÃO DE IMPACTO AMBIENTAL;FUP0199 - GENÉTICA E EVOLUÇÃO - T2;;;;;;;FUP0407 - MECÂNICA APLICADA AS CIÊNCIAS - T2;FUP0218 - SIMULAÇÃO EM ENSINO DE FÍSICA;;
4N34;;FUP0555 - POLÍTICA E GESTÃO DE RESÍDUOS URBANOS E RECICLAGEM;ADM0023 - INTRODUÇÃO À ADMINISTRAÇÃO;FUP0360 - FUNDAMENTOS DAS CIÊNCIAS DA NATUREZA;;;FUP0316 -  UNIVERSO - T2;; FUP0536 - CONTABILIDADE AMBIENTAL;FUP0255 - MORFOFISIOLOGIA COMPARADA;FUP0200 - FUNDAMENTOS EM ECOLOGIA DE POPULAÇÕES E COMUNIDADES;FUP0302 - SISTEMAS ECOLÓGICOS - T2;FUP0441 - SOCIOLOGIA DO AMBIENTALISMO;FUP0320 - SAÚDE E AMBIENTE 1 - T2;FUP0522 - PLANEJAMENTO AMBIENTAL;FUP0534 - DIREITO E LEGISLAÇÃO AMBIENTAL;Ledoc;FUP0549 - INSTRUMENTOS DE AVALIAÇÃO DE IMPACTO AMBIENTAL;FUP0199 - GENÉTICA E EVOLUÇÃO - T2;;;;;;;FUP0351 - LUZ E SOM - T2;FUP0321 - NATUREZA E ENERGIA - T2;;
5M12;FUP0308 - MARKETING NO AGRONEGÓCIO;;EducAção;FUP0445 - ELABORAÇÃO E ANÁLISE DE PROJETOS AGROINDUSTRIAIS;FUP0414 - TRANSPORTE E LOGÍSTICA AGROINDUSTRIAL;FUP0279 - EVOLUÇÃO DA AGRICULTURA FAMILIAR;;;Ledoc;;;;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0282 - ADMINISTRAÇÃO FINANCEIRA;;;;;;;;;;;
5M34;FUP0281 - ADMINISTRAÇÃO APLICADA AO AGRONEGÓCIO;;EducAção;FUP0342 - PLANEJAMENTO ESTRATÉGICO E EMPRESARIAL;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T1;FUP0291 - AGRICULTURA FAMILIAR E POLÍTICAS PÚBLICAS;;FUP0567 - ESTATÍSTICA BÁSICA - T1;Ledoc;;;;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0293 - ECONOMIA APLICADA AO AGRONEGÓCIO 2;FUP0333 - CUSTOS AGROINDUSTRIAIS - T2;FUP0527 - BOTÂNICA - T1;FUP0527 - BOTÂNICA - T1;;;;;;;;
5T23;PPGCA0089 - TÓPICOS AVANÇADOS EM MANEJO E CONSERVAÇÃO DE RECURSOS NATURAIS; FUP0355 - CÉLULA - T1;EducAção;FUP0349 - SISTEMA EDUCACIONAL BRASILEIRO - T1;FUP0320 - SAÚDE E AMBIENTE 1 - T1;PPGCA0100 - MANEJO E CONSERVAÇÃO DE ANIMAIS SILVESTRES;;MAT0025 - CÁLCULO 1 - T20;Ledoc;FUP0528 - ZOOLOGIA - T1; FUP0276 - MATEMÁTICA PARA AGRONEGÓCIO;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T1;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0199 - GENÉTICA E EVOLUÇÃO - T1;FUP0345 - SISTEMA DE INFORMAÇÃO E AGRONEGÓCIO - T1;;;;;;;;;;
5T45;; FUP0355 - CÉLULA - T1;EducAção;FUP0349 - SISTEMA EDUCACIONAL BRASILEIRO - T1;FUP0320 - SAÚDE E AMBIENTE 1 - T1;;;MAT0025 - CÁLCULO 1 - T20;Ledoc;FUP0528 - ZOOLOGIA - T1; FUP0276 - MATEMÁTICA PARA AGRONEGÓCIO;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T1;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0199 - GENÉTICA E EVOLUÇÃO - T1;;;;;;;;;;;
5N12;FUP0548 - GESTÃO DE EFLUENTES LÍQUIDOS E ÁGUAS RESIDUAIS;FUP0527 - BOTÂNICA - T2;MAT0025 - CÁLCULO 1 - T1;FUP0349 - SISTEMA EDUCACIONAL BRASILEIRO - T2;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T2; FUP0434 - CLIMATOLOGIA E MUDANÇAS CLIMÁTICAS GLOBAIS;FUP0267 - ESTADO POLÍTICA AMBIENTE E SUSTENTABILIDADE;; FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T10;FUP0528 - ZOOLOGIA - T2;MAT0022 - MATEMATICA 1;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T2;FUP0535 - GESTÃO AMBIENTAL URBANA E REGIONAL;;FUP0545 - AGRICULTURA E MEIO AMBIENTE;FUP0435 - TEORIA DO DESENVOLVIMENTO SUSTENTÁVEL;Ledoc;FUP0525 - GESTÃO AMBIENTAL EMPRESARIAL;FUP0553 - TRABALHO DE CONCLUSÃO DE CURSO EM GESTÃO AMBIENTAL 1 - T1;;;;;;;FUP0350 - ENSINO DE GEOCIÊNCIAS - T2;;;
5N34;FUP0548 - GESTÃO DE EFLUENTES LÍQUIDOS E ÁGUAS RESIDUAIS;FUP0527 - BOTÂNICA - T2;MAT0025 - CÁLCULO 1 - T1;FUP0349 - SISTEMA EDUCACIONAL BRASILEIRO - T2;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T2;;FUP0267 - ESTADO POLÍTICA AMBIENTE E SUSTENTABILIDADE;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T10;FUP0528 - ZOOLOGIA - T2;;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T2;FUP0535 - GESTÃO AMBIENTAL URBANA E REGIONAL;;FUP0545 - AGRICULTURA E MEIO AMBIENTE;FUP0240 - TEORIA, CONCEITOS E METODOLOGIAS EM EDUCAÇÃO AMBIENTAL;Ledoc;FUP0529 - COMERCIALIZAÇÃO DE PRODUTOS AMBIENTAIS E MARKETING AMBIENTAL;;;;;;;;FUP0350 - ENSINO DE GEOCIÊNCIAS - T2;IGD0021 - GEOLOGIA GERAL - T9;;
6M12;PPGCA0081 - ECOLOGIA DA RESTAURAÇÃO;FUP0334 - GESTÃO DA QUALIDADE;EducAção;FUP0280 - ECONOMIA APLICADA AO AGRONEGÓCIO 1;;FUP0346 - ANÁLISE DE DECISÕES E ADMINISTRAÇÃO DE RISCOS;;;Ledoc;FUP0311 - METODOLOGIA DE PESQUISA;PPGCA0039 - ANÁLISES MULTIDIMENSIONAIS;;Ledoc;FUP0411 - GESTÃO AMBIENTAL;Ledoc;Ledoc;Ledoc;;;;;;;;;IGD0021 - GEOLOGIA GERAL - T4;;;
6M34;PPGCA0081 - ECOLOGIA DA RESTAURAÇÃO;FUP0334 - GESTÃO DA QUALIDADE;EducAção;FUP0344 - REGULAÇÃO E POLÍTICAS PÚBLICAS;;FUP0028 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 3;FUP0292 - SISTEMAS DE PRODUÇÃO DE MATÉRIAS-PRIMAS VEGETAIS;;Ledoc;FUP0311 - METODOLOGIA DE PESQUISA;PPGCA0039 - ANÁLISES MULTIDIMENSIONAIS;;Ledoc;FUP0411 - GESTÃO AMBIENTAL;Ledoc;Ledoc;Ledoc;;;;;;;;;IGD0021 - GEOLOGIA GERAL - T4;;;
6T23;FUP0329 - COMPOSTOS ORGÂNICOS E VIDA - T1;;EducAção;FUP0289 - CONTABILIDADE GERENCIAL;FUP0361 - MEIO AMBIENTE E CIDADANIA;FUP0028 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 3;FUP0161 - AGROECOLOGIA;DSC0094 - TERAPIAS COMUNITÁRIAS E PRÁTICAS INTEGRATIVAS;Ledoc;LIP0174 - LÍNGUA DE SINAIS BRASILEIRA BÁSICO - T1;;;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0412 - GESTÃO DE COOPERATIVAS;;;; FUP0246 - LABORATÓRIO DE QUÍMICA 1 - T1;;;;FUP0539 - PRINCÍPIOS DE SISTEMÁTICA FILOGENÉTICA E BIOGEOGRAFIA;;;
6T45;;;EducAção;;FUP0361 - MEIO AMBIENTE E CIDADANIA;;FUP0161 - AGROECOLOGIA;MAT0025 - CÁLCULO 1 - T20;Ledoc;LIP0174 - LÍNGUA DE SINAIS BRASILEIRA BÁSICO - T1;;;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0412 - GESTÃO DE COOPERATIVAS;;;;FUP0246 -  LABORATÓRIO DE QUÍMICA 1 - T2;;;;FUP0539 - PRINCÍPIOS DE SISTEMÁTICA FILOGENÉTICA E BIOGEOGRAFIA;;;
6N12;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T3;;MAT0025 - CÁLCULO 1 - T1;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T9;FUP0521 - ADMINISTRAÇÃO PÚBLICA;;FUP0567 - ESTATÍSTICA BÁSICA - T2;;LIP0174 - LÍNGUA DE SINAIS BRASILEIRA BÁSICO - T2;PPGCA0075 - TÓPICOS EM CIÊNCIAS AMBIENTAIS;;;;ECO0019 - INTRODUÇÃO À ECONOMIA;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL T11;Ledoc;;FUP0263 - INTRODUÇÃO ÀS CIÊNCIAS SOCIAIS - T1;;; FUP0246 - LABORATÓRIO DE QUÍMICA 1 - T3; FUP0246 - LABORATÓRIO DE QUÍMICA 1 - T4;;;IGD0021 - GEOLOGIA GERAL - T3;;;
6N34;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T3;;FUP0348 - INTRODUÇÃO AO CÁLCULO - T2;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T9;FUP0521 - ADMINISTRAÇÃO PÚBLICA;;FUP0567 - ESTATÍSTICA BÁSICA - T2;;LIP0174 - LÍNGUA DE SINAIS BRASILEIRA BÁSICO - T2;;;;;ECO0019 - INTRODUÇÃO À ECONOMIA;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL T11;Ledoc;;FUP0263 - INTRODUÇÃO ÀS CIÊNCIAS SOCIAIS - T1;;;;;;;IGD0021 - GEOLOGIA GERAL - T3;;;
7M12;FUP0302 - SISTEMAS ECOLÓGICOS - T2;;;FUP0302 - SISTEMAS ECOLÓGICOS - T1;;FUP0537 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 1 - T2;;FUP0325 - EXPERIMENTOS DE QUÍMICA PARA O ENSINO MÉDIO;;;;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T1;Ledoc;FUP0541 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 2 - T1;Ledoc;Ledoc;Ledoc;;;FUP0040 - PRÁTICAS DE CAMPO EM BOTÂNICA;FUP0040 - PRÁTICAS DE CAMPO EM BOTÂNICA;;;;;IGD0021 - GEOLOGIA GERAL - T9;IGD0021 - GEOLOGIA GERAL - T4;;
7M34;FUP0302 - SISTEMAS ECOLÓGICOS - T2;;;FUP0302 - SISTEMAS ECOLÓGICOS - T1;;FUP0537 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 1 - T2;;FUP0325 - EXPERIMENTOS DE QUÍMICA PARA O ENSINO MÉDIO;;;;;Ledoc;FUP0541 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 2 - T1;Ledoc;Ledoc;Ledoc;;;;;;;;;IGD0021 - GEOLOGIA GERAL - T9;IGD0021 - GEOLOGIA GERAL - T3;;
