;A1-09/9;A1-19/63;A1-42/12;A1-42/30;A1-42/42;A1-42/60;A1-42/62;A1-48/22;A1-48/32;A1-48/40;A1-48/50;A1-48/52;AT-09/09;AT-22/7;AT-42/12;AT-42/30;AT-44/56;AT-48/20;AT-48/22;AT-53/26;AT-54/9;AT-66/26;AT-79/11
5M12;;;FUP0282 - ADMINISTRAÇÃO FINANCEIRA - T01;FUP0279 - EVOLUÇÃO DA AGRICULTURA FAMILIAR - T02;;;;;;;;;;;FUP0308 - MARKETING NO AGRONEGÓCIO - T01;LIP0174 - LÍNGUA DE SINAIS BRASILEIRA - BÁSICO - T02;;;FUP0414 - TRANSPORTE E LOGÍSTICA AGROINDUSTRIAL - T01;;;;
5M34;FUP0527 - BOTÂNICA - T02;FUP0339 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO - T01;FUP0293 - ECONOMIA APLICADA AO AGRONEGÓCIO 2 - T01;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T01;;;;FUP0567 - ESTATÍSTICA BÁSICA - T01;;;;;;;FUP0281 - ADMINISTRAÇÃO APLICADA AO AGRONEGÓCIO - T01;LIP0174 - LÍNGUA DE SINAIS BRASILEIRA - BÁSICO - T02;;;FUP0239 - CANAIS DE DISTRIBUIÇÃO DE ALIMENTOS - T02;;;;FUP0333 - CUSTOS AGROINDUSTRIAIS - T02
5N12;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T03;FUP0545 - AGRICULTURA E MEIO AMBIENTE - T01;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T01;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T02;FUP0125 - CIÊNCIA, TECNOLOGIA, SOCIEDADE: UMA INTRODUÇÃO - T01;FUP0535 - GESTÃO AMBIENTAL URBANA E REGIONAL - T01;MAT0022 - MATEMÁTICA 1 - T01;;;FUP0360 - FUNDAMENTOS DAS CIÊNCIAS DA NATUREZA - T01;FUP0434 - CLIMATOLOGIA E MUDANÇAS CLIMÁTICAS GLOBAIS - T01;;;FUP0349 - SISTEMA EDUCACIONAL BRASILEIRO - T02;FUP0525 - GESTÃO AMBIENTAL EMPRESARIAL - T01;FUP0560 - TRABALHO DE CONCLUSÃO DE CURSO EM GESTÃO AMBIENTAL 2 - T02;;FUP0527 - BOTÂNICA - T01;;;FUP0350 - ENSINO DE GEOCIÊNCIAS - T01;FUP0553 - TRABALHO DE CONCLUSÃO DE CURSO EM GESTÃO AMBIENTAL 1 - T01
5N34;;;FUP0545 - AGRICULTURA E MEIO AMBIENTE - T01;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T01;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T02;FUP0125 - CIÊNCIA, TECNOLOGIA, SOCIEDADE: UMA INTRODUÇÃO - T01;FUP0535 - GESTÃO AMBIENTAL URBANA E REGIONAL - T01;;;;FUP0360 - FUNDAMENTOS DAS CIÊNCIAS DA NATUREZA - T01;FUP0436 - FUNDAMENTOS DA ABORDAGEM ECOSSISTÊMICA A SAÚDE HUMANA - T01;;;FUP0349 - SISTEMA EDUCACIONAL BRASILEIRO - T02;;;;FUP0527 - BOTÂNICA - T01;;;FUP0350 - ENSINO DE GEOCIÊNCIAS - T01;FUP0560 - TRABALHO DE CONCLUSÃO DE CURSO EM GESTÃO AMBIENTAL 2 - T01
5T23;;;;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T03;;;;FUP0335 - GESTÃO DE PESSOAS - T02;;;;;;;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T02;FUP0349 - SISTEMA EDUCACIONAL BRASILEIRO - T01;;;;;;;FUP0345 - SISTEMA DE INFORMAÇÃO E AGRONEGÓCIO - T01
5T45;;;;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T03;;;;FUP0276 - MATEMÁTICA PARA AGRONEGÓCIO - T01;;;;;;;FUP0543 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 4 - T02;FUP0349 - SISTEMA EDUCACIONAL BRASILEIRO - T01;;;;;;;FUP0026 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 2 - T01
6M12;;;FUP0346 - ANÁLISE DE DECISÕES E ADMINISTRAÇÃO DE RISCOS - T01;;;;;FUP0035 - CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA - T01;;;;;;;FUP0030 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 4 - T02;FUP0311 - METODOLOGIA DE PESQUISA - T02;;;FUP0334 - GESTÃO DA QUALIDADE - T02;;;IGD0021 - GEOLOGIA GERAL - T04;
6M34;;;FUP0028 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 3 - T01;FUP0292 - SISTEMAS DE PRODUÇÃO DE MATÉRIAS - PRIMAS VEGETAIS - T02;;;;FUP0035 - CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA - T01;;;;;;;FUP0030 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 4 - T02;FUP0311 - METODOLOGIA DE PESQUISA - T02;;FUP0270 - DIREITO NO AGRONEGÓCIO E LEGISLAÇÃO TRIBUTÁRIA - T02;FUP0334 - GESTÃO DA QUALIDADE - T02;;;IGD0021 - GEOLOGIA GERAL - T04;
6N12;;ECO0019 - INTRODUÇÃO À ECONOMIA - T01;;FUP0534 - DIREITO E LEGISLAÇÃO AMBIENTAL - T01;FUP0526 - GESTÃO E INOVAÇÃO TECNOLÓGICA - T01;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T08;FUP0567 - ESTATÍSTICA BÁSICA - T02;;;MAT0025 - CÁLCULO 1 - T01;;FUP0246 - LABORATÓRIO DE QUÍMICA 1 - T03;FUP0246 - LABORATÓRIO DE QUÍMICA 1 - T02;;;;;;;;IGD0021 - GEOLOGIA GERAL - T03;FUP0263 - INTRODUÇÃO ÀS CIÊNCIAS SOCIAIS - T01
6N34;;;;;FUP0526 - GESTÃO E INOVAÇÃO TECNOLÓGICA - T01;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T08;;;;MAT0025 - CÁLCULO 1 - T01;;;;;;;;;;;IGD0021 - GEOLOGIA GERAL - T03;FUP0263 - INTRODUÇÃO ÀS CIÊNCIAS SOCIAIS - T01
6T23;;;;;;;;;;;;;;FUP0246 - LABORATÓRIO DE QUÍMICA 1 - T01;FUP0361 - MEIO AMBIENTE E CIDADANIA - T01;;;ZOO0028 - COMPORTAMENTO ANIMAL - T02;;;;;FUP0473 - TRABALHO DE CONCLUSÃO DE CURSO 2 - T02
6T45;;FUP0336 - PESQUISA OPERACIONAL - T01;;;;;;;;;FUP0289 - CONTABILIDADE GERENCIAL - T01;;;FUP0246 - LABORATÓRIO DE QUÍMICA 1 - T04;FUP0361 - MEIO AMBIENTE E CIDADANIA - T01;;;ZOO0028 - COMPORTAMENTO ANIMAL - T02;;;;;
6T56;;;FUP0028 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO 3 - T01;;;;;;;;;;;;;;;;;;;;
7M12;;;;FUP0564 - GESTÃO DA BIODIVERSIDADE - T01;;;;;;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T09;;;;;LIP0174 - LÍNGUA DE SINAIS BRASILEIRA - BÁSICO - T01;;;;IGD0021 - GEOLOGIA GERAL - T04;;IGD0021 - GEOLOGIA GERAL - T09;
7M34;;;;FUP0564 - GESTÃO DA BIODIVERSIDADE - T01;;;;;;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T09;;;;FUP0408 - TRABALHO DE CONCLUSÃO DE CURSO 1 - T01;LIP0174 - LÍNGUA DE SINAIS BRASILEIRA - BÁSICO - T01;;;;IGD0021 - GEOLOGIA GERAL - T03;;IGD0021 - GEOLOGIA GERAL - T09;
7N12;;;;;;;;;;;MAT0025 - CÁLCULO 1 - T01;;;;;;;;;;;;
7N34;;;;;;;;;;;FUP0348 - INTRODUÇÃO AO CÁLCULO - T02;;;;;;;;;;;;
