;AT-42/12;AT-48/20;AT-48/22;AT-42/30;A1-42/8;A1-42/12;A1-48/20;A1-48/22;A1-42/30;A1-48/32;A1-42/34;A1-48/40;A1-42/42;A1-48/50;A1-48/52;A1-42/60;A1-42/62;A1-19/63;AT-79/11;A1-09/9;A1-20/7;AT-22/7;AT-09/9;AT-48/10;A1-48/10;AT-53/26;AT-66/26;;
3N12;FUP0286 - ENSINO DE CIÊNCIAS - T2;;FUP0524 - ORGANIZAÇÃO E MÉTODOS - T1; FUP0438 - QUÍMICA AMBIENTAL;FUP0003 - TÓPICOS ESPECIAIS EM BIOLOGIA;FUP0537 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 1 - T2;;FUP0542 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 3 - T2;FUP0533 - RECUPERAÇÃO ÁREAS DEGRADADAS ; FUP0330 - DIDÁTICA DAS CIÊNCIAS - T2;FUP0262 - METODOLOGIA DA PESQUISA CIENTÍFICA E ELABORAÇÃO DE PROJETOS;FUP0314 - BASES PSICOLÓGICAS PARA O ENSINO DE CIÊNCIAS - T2;FUP0530 - PLANEJAMENTO E GESTÃO DE RECURSOS HÍDRICOS;FUP0541 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 2 - T2;;FUP0335 - GESTÃO DE PESSOAS - T4;Ledoc;FUP0299 - FILOSOFIA E SOCIOLOGIA DA EDUCAÇÃO - T2;FUP0443 - INTRODUÇÃO À SAÚDE PÚBLICA E AMBIENTAL;;;;;;;FUP0261 - PEDOLOGIA E EDAFOLOGIA;;;
3N34;FUP0286 - ENSINO DE CIÊNCIAS - T2;;FUP0524 - ORGANIZAÇÃO E MÉTODOS - T1; FUP0438 - QUÍMICA AMBIENTAL;FUP0003 - TÓPICOS ESPECIAIS EM BIOLOGIA;FUP0537 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 1 - T2;;FUP0542 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 3 - T2;FUP0533 - RECUPERAÇÃO ÁREAS DEGRADADAS ;FUP0330 -  DIDÁTICA DAS CIÊNCIAS - T2;MAT0022 - MATEMATICA 1;FUP0314 - BASES PSICOLÓGICAS PARA O ENSINO DE CIÊNCIAS - T2;FUP0530 - PLANEJAMENTO E GESTÃO DE RECURSOS HÍDRICOS;FUP0541 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 2 - T2;;FUP0335 - GESTÃO DE PESSOAS - T4;Ledoc;FUP0299 - FILOSOFIA E SOCIOLOGIA DA EDUCAÇÃO - T2;FUP0443 - INTRODUÇÃO À SAÚDE PÚBLICA E AMBIENTAL;;;;;;;FUP0261 - PEDOLOGIA E EDAFOLOGIA;;;
4M12;FUP0446 - GESTÃO DE NEGÓCIOS INTERNACIONAIS; ;EducAção;FUP0335 - GESTÃO DE PESSOAS - T3;FUP0306 - SOCIOLOGIA;FUP0343 - INOVAÇÃO TECNOLÓGICA;FUP0412 - GESTÃO DE COOPERATIVAS;MAT0025 - CÁLCULO 1 - T20;Ledoc;FUP0337 - METODOS QUALITATIVOS;;;Ledoc;FUP0295 - SISTEMAS AGROINDUTRIAIS;Ledoc;Ledoc;Ledoc;FUP0309 - SISTEMAS DE PRODUÇÃO DE MATÉRIAS-PRIMAS ANIMAIS;MAT0027 - CÁLCULO 3;;;;;;;FUP0249 - TÓPICOS ESPECIAIS EM GEOCIÊNCIAS;;;
4M34;FUP0518 - POLÍTICA INTERNACIONAL DESENVOLVIMENTO E AGRONEGÓCIO;FUP0568 - INTRODUÇÃO AS PRÁTICAS E A PESQUISA DO GESTOR DO AGRONEGÓCIO;EducAção;FUP0335 - GESTÃO DE PESSOAS - T3;FUP0306 - SOCIOLOGIA;FUP0128 - ECONOMIA BRASILEIRA CONTEMPORÂNEA;FUP0292 - SISTEMAS DE PRODUÇÃO DE MATÉRIAS-PRIMAS VEGETAIS; FUP0348 - INTRODUÇÃO AO CÁLCULO T1;Ledoc;FUP0337 - METODOS QUALITATIVOS;FUP0354 - SEMINÁRIOS EM CIÊNCIAS NATURAIS;FUP0408 - TRABALHO DE CONCLUSÃO DE CURSO 1 - T1;Ledoc;FUP0410 - TECNOLOGIAS DE PRODUTOS AGROINDUSTRIAIS;Ledoc;Ledoc;Ledoc;FUP0309 - SISTEMAS DE PRODUÇÃO DE MATÉRIAS-PRIMAS ANIMAIS;ICB0085 - TÓPICOS ESPECIAIS EM ENSINO DE BIOLOGIA;;;;;FUP0220 - TÓPICOS ESPECIAIS EM ENSINO DE FÍSICA ;;;;;
4T23;FUP0329 - COMPOSTOS ORGÂNICOS E VIDA - T1;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T3;EducAção;FUP0289 - CONTABILIDADE GERENCIAL;;FUP0362 - ENERGIA E DINÂMICA DAS TRANSFORMAÇÕES QUÍMICAS -  T1;FUP0363 - ELETROMAGNETISMO EM CIÊNCIAS - T1; FUP0313 - QUÍMICA E TECNOLOGIA - T1;Ledoc;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T4;;PPGDH0065 - Trabalho, Contemporaneidade e Cidadania;Ledoc;FUP0407 - MECÂNICA APLICADA AS CIÊNCIAS - T1;Ledoc;Ledoc;Ledoc;FUP0247 - FUNDAMENTOS QUÍMICA INORGÂNICA -  T1;;;;;;;;;;;
4T45;;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T3;EducAção;;FUP0351 - LUZ E SOM - T2;FUP0312 - PESQUISA E EXTENSÃO;FUP0316 -  UNIVERSO - T1;;Ledoc;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T4;;PPGDH0065 - Trabalho, Contemporaneidade e Cidadania;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0247 - FUNDAMENTOS QUÍMICA INORGÂNICA -  T1;;;;;;;;FUP0321 - NATUREZA E ENERGIA - T1;;;
4N12;FUP0316 -  UNIVERSO - T2;FUP0555 - POLÍTICA E GESTÃO DE RESÍDUOS URBANOS E RECICLAGEM;ADM0023 - INTRODUÇÃO À ADMINISTRAÇÃO;FUP0360 - FUNDAMENTOS DAS CIÊNCIAS DA NATUREZA;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS;FUP0362 - ENERGIA E DINÂMICA DAS TRANSFORMAÇÕES QUÍMICAS -  T2;FUP0363 - ELETROMAGNETISMO EM CIÊNCIAS - T2;FUP0313 - QUÍMICA E TECNOLOGIA - T2; FUP0536 - CONTABILIDADE AMBIENTAL;FUP0247 - FUNDAMENTOS QUÍMICA INORGÂNICA - T2;FUP0200 - FUNDAMENTOS EM ECOLOGIA DE POPULAÇÕES E COMUNIDADES;FUP0199 - GENÉTICA E EVOLUÇÃO - T2;FUP0441 - SOCIOLOGIA DO AMBIENTALISMO;FUP0558 - POLUIÇÃO AMBIENTAL;FUP0522 - PLANEJAMENTO AMBIENTAL;FUP0534 - DIREITO E LEGISLAÇÃO AMBIENTAL;Ledoc;FUP0549 - INSTRUMENTOS DE AVALIAÇÃO DE IMPACTO AMBIENTAL;FUP0302 - SISTEMAS ECOLÓGICOS - T2;;;;;;;;FUP0407 - MECÂNICA APLICADA AS CIÊNCIAS - T2;;
4N34;;FUP0555 - POLÍTICA E GESTÃO DE RESÍDUOS URBANOS E RECICLAGEM;ADM0023 - INTRODUÇÃO À ADMINISTRAÇÃO;FUP0360 - FUNDAMENTOS DAS CIÊNCIAS DA NATUREZA;; FUP0329 - COMPOSTOS ORGÂNICOS E VIDA - T2;;; FUP0536 - CONTABILIDADE AMBIENTAL;FUP0247 - FUNDAMENTOS QUÍMICA INORGÂNICA - T2;FUP0200 - FUNDAMENTOS EM ECOLOGIA DE POPULAÇÕES E COMUNIDADES;FUP0199 - GENÉTICA E EVOLUÇÃO - T2;FUP0441 - SOCIOLOGIA DO AMBIENTALISMO;FUP0558 - POLUIÇÃO AMBIENTAL;FUP0522 - PLANEJAMENTO AMBIENTAL;FUP0534 - DIREITO E LEGISLAÇÃO AMBIENTAL;Ledoc;FUP0549 - INSTRUMENTOS DE AVALIAÇÃO DE IMPACTO AMBIENTAL;FUP0302 - SISTEMAS ECOLÓGICOS - T2;;;;;;;FUP0321 - NATUREZA E ENERGIA - T2;FUP0351 - LUZ E SOM - T2;;
5M12;FUP0308 - MARKETING NO AGRONEGÓCIO;;EducAção;FUP0445 - ELABORAÇÃO E ANÁLISE DE PROJETOS AGROINDUSTRIAIS;;FUP0279 - EVOLUÇÃO DA AGRICULTURA FAMILIAR;;;Ledoc;;;;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0282 - ADMINISTRAÇÃO FINANCEIRA;;;;;;;;;;;
5M34;FUP0281 - ADMINISTRAÇÃO APLICADA AO AGRONEGÓCIO;;EducAção;FUP0342 - PLANEJAMENTO ESTRATÉGICO E EMPRESARIAL ;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T1;;;FUP0567 - ESTATÍSTICA BÁSICA - T1;Ledoc;; FUP0414 - TRANSPORTE E LOGÍSTICA AGROINDUSTRIAL;;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0293 - ECONOMIA APLICADA AO AGRONEGÓCIO 2 ;FUP0333 - CUSTOS AGROINDUSTRIAIS - T2;FUP0527 - BOTÂNICA - T1;FUP0527 - BOTÂNICA - T1;;;;;;;;
